Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
AT3G05650,At3g05650.1,Athaliana_11553,0
AT3G05660,At3g05660.1,Athaliana_2806,0
AT3G11010,At3g11010.1,Athaliana_16595,0
AT3G11080,At3g11080.1,Athaliana_16741,0
AT3G23010,At3g23010.1,Athaliana_9410,0
AT3G23110,At3g23110.1,Athaliana_27168,0
AT3G23120,At3g23120.1,Athaliana_553,0
AT3G24900,At3g24900.1,Athaliana_15336,0
AT3G24982,AT3G24982.1,Athaliana_18887,0
AT3G25010,At3g25010.1,Athaliana_20290,0
AT3G25020,At3g25020.1,#N/A,At3g25020.1
AT3G28890,At3g28890.1,Athaliana_1458,0
AT3G53240,At3g53240.1,Athaliana_6311,0
AT4G04220,At4g04220.1,#N/A,At4g04220.1
AT4G13810,At4g13810.1,Athaliana_16839,0
AT4G13880,At4g13880.1,Athaliana_7487,0
AT4G13920,At4g13920.1,Athaliana_7848,0
AT5G25910,At5g25910.1,Athaliana_15654,0
AT5G27060,At5g27060.1,Athaliana_845,0
AT5G40170,At5g40170.1,Athaliana_24655,0
AT5G49290,At5g49290.1,Athaliana_2202,0
AT1G07650,#N/A,Athaliana_18462,0
AT1G10850,#N/A,Athaliana_24348,0
AT1G11130,#N/A,Athaliana_18698,0
AT1G28340,At1g28340.1,Athaliana_14140,0
AT1G34290,#N/A,Athaliana_3745,0
AT1G51805,#N/A,Athaliana_18849,0
AT1G56145,#N/A,Athaliana_26863,0
AT1G80080,At1g80080.1,Athaliana_3418,0
AT2G41140,AT2G41140.1,#N/A,AT2G41140.1
AT2G42800,At2g42800.1,#N/A,At2g42800.1
AT3G49750,At3g49750.1,Athaliana_14999,0
AT4G13900,At4g13900.1,#N/A,At4g13900.1
AT4G18760,At4g18760.1,Athaliana_19768,0
AT4G23230,AT4G23230.1,#N/A,AT4G23230.1
AT5G65830,At5g65830.1,Athaliana_7254,0
